timestamp,script,algoritmo,dataset,clases_removidas,seed,n_train,n_test,n_features,num_classes,fit_seconds,pred_seconds,ms_per_sample,OA,F1_macro,system_info
2025-09-04T17:39:51,20250901_PruebasEntrenamientoRF.ipynb,RandomForest,PuntosMuestra_CR_2023.csv,2,42,20439,8760,13,6,1.0931,0.0719,0.008,0.8826,0.8161,"{""""""""host"""""""": """"""""IALB18"""""""""
2025-09-04T17:59:07,20250901_PruebasEntrenamientoDNN.ipynb,MLP_tabular,PuntosMuestra_CR_2023.csv,2,42,8760,8760,,6,287.6801,30.0637,3.432,0.5234,0.1145,"{""""""""host"""""""": """"""""IALB18"""""""""
2025-09-04T18:25:25,20250901_PruebasEntrenamientoViT.ipynb,ViT_tiny_linear_probe,PuntosMuestra_CR_tinto_synthetic_images,02,42,20439,8760,,6,921.1593,374.0807,42.703,0.521,0.1142,"{""""""""host"""""""": """"""""IALB18"""""""""
2025-09-04T18:25:57,20250901_PruebasEntrenamientoXGB.ipynb,XGBoost,PuntosMuestra_CR_2023.csv,2,42,20439,8760,13,6,2.538,0.0222,0.003,0.8871,0.829,"{""""""""host"""""""": """"""""IALB18"""""""""
