fold,OA,F1_macro,clase_dificil,F1_clases,matriz_confusion
1,0.8726027397260274,0.8021904709412938,5,"{0: 0.8911376878258203, 1: 0.9154746423927178, 2: 0.9521640091116174, 3: 0.7263681592039801, 4: 0.6776315789473685, 5: 0.6503667481662592}","[[1453, 171, 0, 3, 6, 7], [138, 2816, 1, 3, 20, 67], [8, 0, 209, 7, 0, 0], [6, 8, 5, 146, 46, 25], [8, 28, 0, 0, 206, 33], [8, 84, 0, 7, 55, 266]]"
2,0.8751712328767123,0.8028686100332193,4,"{0: 0.8918348900271166, 1: 0.9182841298320013, 2: 0.9476082004555809, 3: 0.7841409691629956, 4: 0.6150793650793651, 5: 0.6602641056422569}","[[1480, 147, 0, 0, 5, 8], [146, 2815, 3, 5, 12, 64], [10, 1, 208, 5, 0, 0], [8, 10, 4, 178, 16, 20], [21, 39, 0, 14, 155, 45], [14, 74, 0, 16, 42, 275]]"
3,0.8791095890410959,0.8153899079372747,5,"{0: 0.8904191616766467, 1: 0.9187176165803109, 2: 0.9539170506912442, 3: 0.8017429193899782, 4: 0.6808510638297872, 5: 0.6466916354556804}","[[1487, 144, 0, 2, 3, 3], [165, 2837, 3, 1, 8, 32], [7, 0, 207, 9, 0, 0], [11, 3, 1, 184, 11, 27], [18, 25, 0, 12, 160, 59], [13, 121, 0, 14, 14, 259]]"
4,0.876541095890411,0.8092060445012966,5,"{0: 0.897307451471509, 1: 0.9163879598662207, 2: 0.9490740740740741, 3: 0.7816593886462883, 4: 0.7100371747211895, 5: 0.6007702182284981}","[[1433, 199, 0, 1, 1, 5], [88, 2877, 1, 3, 15, 62], [5, 1, 205, 12, 0, 0], [7, 9, 2, 179, 21, 18], [11, 27, 1, 6, 191, 39], [11, 120, 0, 21, 35, 234]]"
5,0.8775475252611749,0.8193087017095343,4,"{0: 0.8940819423368741, 1: 0.9155366770135599, 2: 0.9659863945578231, 3: 0.8314087759815243, 4: 0.6451612903225806, 5: 0.6636771300448431}","[[1473, 157, 2, 0, 3, 4], [146, 2802, 1, 2, 16, 78], [4, 0, 213, 6, 0, 1], [1, 6, 1, 180, 15, 33], [20, 33, 0, 2, 160, 60], [12, 78, 0, 7, 27, 296]]"
